hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee,pu_x,pu_y,do_x,do_y
HV0005,B03406,,2025-07-01 18:11:01,2025-07-01 18:27:19,2025-07-01 18:28:04,2025-07-01 18:38:07,65,25,0.827,603,9.86,0.0,0.25,0.88,0.0,0.0,5.0,9.28,N,N,N,N,N,0.0,988185.4167960744,193091.6533953741,988472.9297138964,188379.00122172877
HV0003,B03404,B03404,2025-07-01 18:27:43,2025-07-01 18:29:35,2025-07-01 18:31:35,2025-07-01 18:53:05,87,33,3.12,1289,29.04,0.0,0.72,2.58,2.75,0.0,0.0,20.26,N,N,N,N,N,0.0,982790.8080507448,196453.4099398192,985926.4053721724,192685.34862064195
HV0003,B03404,B03404,2025-07-01 18:51:46,2025-07-01 18:54:15,2025-07-01 18:55:09,2025-07-01 18:56:55,33,33,0.21,106,8.94,0.0,0.22,0.79,0.0,0.0,5.0,5.5,N,N,N,N,N,0.0,986035.82788346,192382.4213532648,985118.8708780012,192543.23096042784
HV0005,B03406,,2025-07-01 18:13:30,2025-07-01 18:25:09,2025-07-01 18:25:42,2025-07-01 18:36:06,88,209,0.954,624,12.02,0.0,0.16,0.56,2.75,0.0,0.0,8.92,N,N,N,N,N,1.5,981970.3688734532,194962.03938729016,982825.7057394304,197775.3621742762
HV0003,B03404,B03404,2025-07-01 18:47:21,2025-07-01 18:51:15,2025-07-01 18:51:19,2025-07-01 18:58:58,87,209,0.65,459,21.29,0.0,0.49,1.89,2.75,0.0,0.0,9.97,N,N,N,N,N,1.5,982835.967305396,196457.69774659065,983016.297181588,197569.46963732535
HV0003,B03404,B03404,2025-07-01 18:46:13,2025-07-01 18:52:53,2025-07-01 18:53:27,2025-07-01 19:16:16,88,65,2.57,1368,30.3,0.0,0.73,2.73,2.75,0.0,0.0,19.68,N,N,N,N,N,1.5,980549.2559352958,195267.8056602288,987540.0288807998,191602.2050702865
HV0003,B03404,B03404,2025-07-01 18:23:52,2025-07-01 18:29:12,2025-07-01 18:30:00,2025-07-01 18:47:04,45,25,2.21,1024,22.67,0.0,0.53,2.01,2.75,0.0,0.0,14.44,N,N,N,N,N,1.5,985153.0600026118,199370.95840880775,989431.0062291886,189089.973466692
HV0005,B03406,,2025-07-01 18:02:13,2025-07-01 18:09:54,2025-07-01 18:10:54,2025-07-01 18:16:21,209,45,0.429,327,6.05,0.0,0.15,0.54,2.75,0.0,0.0,8.0,N,N,N,N,N,1.5,983198.6879041378,197633.15284048172,986237.8534003204,198806.697429067
HV0003,B03404,B03404,2025-07-01 18:34:48,2025-07-01 18:37:42,2025-07-01 18:38:30,2025-07-01 18:45:56,33,33,1.01,446,19.66,0.0,0.49,1.73,0.0,0.0,0.0,10.98,N,N,N,N,Y,0.0,985946.315916322,192840.3917135054,985551.532787044,192627.0657595367
HV0005,B03406,,2025-07-01 18:45:40,2025-07-01 18:48:42,2025-07-01 18:49:33,2025-07-01 18:56:49,65,66,0.593,436,7.92,0.0,0.2,0.7,0.0,0.0,0.0,5.26,N,N,N,N,N,0.0,987461.6243703308,192200.46148767992,988493.9887036585,195176.36972422895
