zone,time_bin_label,avg_requests
25,18:00,6.6
25,18:15,7.25
25,18:30,8.4
25,18:45,9.8
25,19:00,8.4
25,19:15,8.4
25,19:30,6.4
25,19:45,11.0
33,18:00,8.4
33,18:15,9.4
33,18:30,7.8
33,18:45,10.2
33,19:00,6.0
33,19:15,8.2
33,19:30,5.6
33,19:45,12.6
45,18:00,3.3333333333333335
45,18:15,3.6
45,18:30,3.2
45,18:45,2.4
45,19:00,4.0
45,19:15,3.0
45,19:30,2.0
45,19:45,3.6
65,18:00,7.8
65,18:15,9.6
65,18:30,9.6
65,18:45,8.8
65,19:00,7.2
65,19:15,7.2
65,19:30,7.8
65,19:45,7.2
66,18:00,7.6
66,18:15,7.2
66,18:30,7.0
66,18:45,7.2
66,19:00,5.6
66,19:15,6.0
66,19:30,6.4
66,19:45,8.4
87,18:00,3.0
87,18:15,5.0
87,18:30,6.5
87,18:45,4.2
87,19:00,5.4
87,19:15,5.0
87,19:30,7.0
87,19:45,3.8
88,18:00,3.25
88,18:15,3.5
88,18:30,3.4
88,18:45,2.2
88,19:00,1.8
88,19:15,4.0
88,19:30,2.6
88,19:45,3.25
209,18:00,2.0
209,18:15,3.0
209,18:30,2.3333333333333335
209,18:45,2.75
209,19:00,2.5
209,19:15,5.0
209,19:30,2.25
209,19:45,3.75
